Instances,,,ScalableCA,,,,SamplingCA,,,,CAmpactor,,,,Calot,,,,AETG,,,,ACTS,,,,JCunit,,,,TCA,,,,FastCA,,,,AutoCCAG,
,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime
XSEngine,,526,544.6,1683.47,,885,917.0,71305.69,,846,878.7,171299.35,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--
aaed2000,,794,822.3,1648.31,,1392,1426.5,109621.40,,1379,1413.1,170855.41,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--
adder,,515,543.8,2019.51,,922,942.8,73212.51,,885,907.4,171506.41,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--
adderII,,512,532.0,2031.37,,925,941.1,75467.21,,888,907.0,171197.83,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--
aeb,,497,515.2,1749.11,,876,894.0,61934.51,,826,845.3,171636.75,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--
aim711,,517,547.2,1807.09,,930,947.3,72604.97,,893,911.1,171638.99,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--
aki3068net,,525,534.0,1728.02,,912,931.2,63105.02,,862,884.5,171639.23,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--
am31_sim,,469,482.8,1418.36,,808,818.8,49577.42,,743,752.7,171959.90,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--
asb,,480,500.3,1637.80,,839,852.9,60688.41,,790,803.6,172097.93,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--
asb2305,,486,509.9,1498.83,,837,857.5,62459.99,,789,810.3,171660.03,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--
assabet,,488,509.3,1967.44,,869,886.1,68457.41,,829,845.7,171058.85,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--
at91sam7sek,,482,511.8,2090.23,,876,890.0,75000.38,,840,855.4,171159.56,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--
at91sam7xek,,541,559.0,2356.74,,958,964.3,86343.05,,930,937.8,171183.78,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--
atlas_mips32_4kc,,520,538.3,1756.27,,920,933.6,64229.26,,874,888.4,171452.35,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--
atlas_mips64_5kc,,525,540.9,1911.60,,912,929.9,63713.67,,866,883.4,171714.57,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--
axtls,,120,125.3,1.36,,158,160.7,4.95,,108,111.3,116.13,,108,108,10209.8,,203,203,8.29,,172,172,15.06,,231,231,15.66,,190,200.4,8.3,,173,197.5,14.31,,149,153.7,91960.45
brutus,,479,498.0,1640.93,,838,850.9,59074.62,,786,799.8,171551.47,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--
buildroot,,79,81.5,308.92,,108,109.8,752.20,,70,70.0,18618.99,,--,--,--,,109,109,7591.95,,--,--,--,,--,--,--,,109,109,7591.95,,109,109,15484.78,,69,70.0,19007.08
busybox_1_28_0,,171,179.9,593.58,,325,328.5,13148.37,,157,159.3,171052.00,,--,--,--,,934,934,92756.51,,--,--,--,,--,--,--,,934,934,92756.51,,934,934,94998.48,,605,639.4,153886
calm16_ceb,,480,496.5,1475.34,,837,849.1,52448.05,,776,788.4,171239.62,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--
calm32_ceb,,474,499.7,1460.38,,838,857.6,52807.45,,775,796.7,171554.95,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--
ceb_v850,,470,492.7,1599.35,,831,844.7,54050.48,,773,786.4,171990.66,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--
cerf,,533,562.7,2156.66,,969,983.7,78695.38,,936,952.1,171583.77,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--
cerfpda,,535,561.0,2407.06,,974,989.8,81945.17,,945,960.9,171016.63,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--
cma230,,474,494.7,1760.13,,837,858.1,57652.65,,784,805.1,171806.22,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--
