Instances,,,ScalableCA (L = 100),,,,ScalableCA (L = 250),,,,ScalableCA (L = 500),,,,ScalableCA (L = 750),,,,ScalableCA (L = 1000),
,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime
XSEngine,,592,625.5,1117.91,,546,565.2,1421.95,,526,544.6,1683.47,,512,535.9,1799.71,,507,525.6,2156.73
aaed2000,,878,937.6,1118.45,,818,847.1,1381.48,,794,822.3,1648.31,,772,800.9,1900.78,,772,791.4,2136.07
adder,,600,635.2,1239.13,,553,565.2,1571.53,,515,543.8,2019.51,,506,527.5,2226.98,,506,524.3,2441.97
adderII,,592,613.9,1292.74,,545,556.5,1611.55,,512,532.0,2031.37,,512,528.2,2021.79,,503,519.1,2372.33
aeb,,569,601.8,1038.95,,534,544.2,1361.02,,497,515.2,1749.11,,491,507.4,1855.37,,484,499.3,2112.98
aim711,,587,631.6,1196.52,,545,566.2,1499.61,,517,547.2,1807.09,,499,537.5,1962.05,,499,525.1,2442.99
aki3068net,,586,628.2,1005.27,,540,572.0,1228.27,,525,534.0,1728.02,,500,526.5,1789.54,,500,522.6,1993.36
am31_sim,,526,559.4,863.74,,478,506.9,1109.21,,469,482.8,1418.36,,459,474.6,1526.63,,456,472.1,1683.00
asb,,535,576.2,1042.25,,489,515.1,1368.61,,480,500.3,1637.80,,477,493.8,1629.85,,474,486.0,1924.91
asb2305,,554,572.6,1045.60,,503,530.4,1222.95,,486,509.9,1498.83,,484,500.7,1560.98,,482,493.3,1800.13
assabet,,560,594.3,1188.44,,516,544.7,1471.07,,488,509.3,1967.44,,474,500.8,2081.12,,474,496.1,2392.66
at91sam7sek,,570,599.3,1221.66,,512,536.2,1620.58,,482,511.8,2090.24,,479,506.3,2154.44,,469,495.7,2600.79
at91sam7xek,,617,644.4,1380.59,,543,581.6,1876.88,,541,559.0,2356.74,,517,544.6,2771.54,,513,536.5,3246.50
atlas_mips32_4kc,,618,642.0,989.53,,555,574.0,1303.07,,520,538.3,1756.27,,514,531.0,1862.94,,514,527.0,2128.67
atlas_mips64_5kc,,599,635.3,1050.30,,541,566.7,1483.21,,525,540.9,1911.60,,504,528.7,2064.57,,498,518.6,2508.23
axtls,,129,132.5,0.86,,125,128.4,0.95,,120,125.3,1.36,,120,123.6,1.39,,119,122.6,1.99
brutus,,537,564.2,1042.79,,480,517.4,1318.01,,479,498.0,1640.93,,465,483.0,1816.37,,465,476.5,2165.68
buildroot,,87,88.8,122.49,,81,85.1,153.74,,79,81.5,308.92,,79,80.8,281.46,,78,80.2,428.17
busybox_1_28_0,,215,222.7,247.43,,186,199.0,345.31,,171,179.9,593.58,,170,173.4,683.41,,168,171.4,805.87
calm16_ceb,,542,563.4,931.35,,494,517.4,1177.85,,480,496.5,1475.34,,462,487.8,1607.35,,458,484.6,1820.16
calm32_ceb,,533,562.7,922.10,,501,522.5,1128.69,,474,499.7,1460.38,,472,489.0,1630.31,,460,482.0,1914.28
ceb_v850,,544,565.9,999.20,,494,515.2,1263.93,,470,492.7,1599.35,,459,481.7,1745.49,,455,475.2,2019.97
cerf,,628,665.8,1236.39,,574,591.7,1625.70,,533,562.7,2156.66,,516,542.7,2399.52,,516,533.1,2801.39
cerfpda,,622,655.1,1394.84,,572,597.6,1780.59,,535,561.0,2407.06,,527,547.9,2616.73,,526,542.1,3001.75
cma230,,533,567.0,1055.45,,499,527.4,1260.00,,474,494.7,1760.13,,473,489.6,1747.54,,463,478.6,2230.72
cma28x,,536,573.8,955.68,,501,521.9,1218.13,,472,498.4,1523.90,,467,486.4,1687.56,,445,477.7,1997.88
cme555,,556,581.0,1159.21,,497,527.5,1454.12,,486,507.6,1872.20,,478,493.7,1959.18,,478,490.3,2170.00
cq7708,,745,766.9,993.73,,700,722.6,1145.10,,667,695.5,1421.63,,655,681.3,1595.15,,655,676.3,1794.70
cq7750,,604,624.1,1146.38,,537,562.9,1536.21,,530,541.2,1873.90,,516,530.4,2038.87,,496,525.4,2420.81
csb281,,630,657.9,1210.90,,589,612.4,1433.57,,542,572.4,2016.87,,536,559.0,2170.62,,525,550.7,2552.00
