Instances,,,ScalableCA (delta = 10),,,,ScalableCA (delta = 50),,,,ScalableCA (delta = 100),,,,ScalableCA (delta = 500),,,,ScalableCA (delta = 1000),
,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime
XSEngine,,527,551.4,1986.29,,517,546.5,1862.30,,526,544.6,1683.47,,502,519.1,2440.86,,492,511.3,3171.50
aaed2000,,863,879.3,1682.72,,805,833.3,1720.78,,794,822.3,1648.31,,759,782.8,2496.96,,766,779.1,3419.18
adder,,543,562.9,2145.40,,514,551.8,2028.84,,515,543.8,2019.51,,505,525.4,2520.32,,484,515.2,3523.65
adderII,,540,561.9,2070.05,,526,551.7,1990.24,,512,532.0,2031.37,,497,523.4,2595.02,,498,519.3,3425.88
aeb,,523,544.2,1689.21,,500,520.6,1789.70,,497,515.2,1749.11,,500,510.0,2080.04,,477,495.8,2897.76
aim711,,540,580.8,1755.72,,531,552.1,2005.08,,517,547.2,1807.09,,516,532.4,2469.59,,506,518.1,3220.88
aki3068net,,564,577.6,1606.80,,516,542.6,1789.59,,525,534.0,1728.02,,519,537.8,2103.36,,108,436.7,2961.15
am31_sim,,489,506.8,1429.04,,463,490.0,1478.73,,469,482.8,1418.36,,457,474.1,1756.55,,456,476.3,2272.73
asb,,502,529.7,1672.99,,494,508.9,1812.25,,480,500.3,1637.80,,477,493.0,2091.96,,107,448.2,2862.45
asb2305,,514,532.6,1582.67,,496,515.8,1546.75,,486,509.9,1498.83,,484,499.0,2040.76,,466,487.9,2744.20
assabet,,498,524.6,2174.35,,498,508.5,1950.77,,488,509.3,1967.44,,483,497.7,2494.86,,478,495.1,3142.39
at91sam7sek,,509,531.7,2200.48,,496,513.2,2058.99,,482,511.8,2090.24,,493,500.9,2495.93,,471,488.3,3467.56
at91sam7xek,,559,579.6,2268.05,,541,558.0,2138.02,,541,559.0,2356.74,,513,546.4,2629.05,,516,529.0,3751.27
atlas_mips32_4kc,,552,578.9,1671.81,,537,557.6,1747.47,,520,538.3,1756.27,,511,535.0,2176.87,,506,525.6,2872.37
atlas_mips64_5kc,,541,562.7,1907.15,,527,539.8,2066.33,,525,540.9,1911.60,,513,531.8,2288.91,,503,523.6,2915.43
axtls,,117,123.2,1.42,,120,124.8,1.12,,120,125.3,1.36,,121,125.2,2.77,,120,124.3,4.54
brutus,,496,521.8,1597.06,,482,502.0,1633.44,,479,498.0,1640.93,,464,476.7,2173.98,,459,483.6,2801.98
buildroot,,79,82.3,265.51,,80,81.6,350.95,,79,81.5,308.92,,79,81.9,353.94,,80,82.1,420.40
busybox_1_28_0,,176,182.4,586.93,,173,180.4,721.45,,171,179.9,593.58,,176,180.5,662.83,,174,179.4,792.03
calm16_ceb,,487,521.9,1405.44,,501,516.3,1349.14,,480,496.5,1475.34,,462,489.7,1842.66,,451,481.0,2464.90
