Instances,,,ScalableCA,,,,SamplingCA,,,,CAmpactor,,,,Calot,,,,AETG,,,,ACTS,,,,JCunit,,,,TCA,,,,FastCA,,,,AutoCCAG,
,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime
apache,,134,134.7,931.63,,238,242.9,180.44,,185,196.6,1024.55,,--,--,--,,220,220.0,225.80,,173,173.0,12.27,,245,245,13.69,,220,220.0,225.80,,134,135.0,799.55,,135,136.6,837.16
bugzilla,,48,48.0,45.21,,82,84.0,2.03,,48,48.0,16.89,,50,50.0,614.96,,76,76.0,1.91,,68,68.0,1.01,,114,114,1.56,,48,53.6,2.37,,48,48.0,21.33,,48,48.0,10.77
gcc,,72,73.1,892.12,,128,130.2,115.22,,86,90.6,1108.51,,--,--,--,,120,120.0,312.48,,108,108.0,14.48,,227,227,17.34,,120,120.0,312.48,,76,77.5,477.10,,73,74.7,773.83
spins,,80,80.0,268.13,,118,120.4,0.51,,80,81.3,94.65,,--,--,--,,129,129.0,0.10,,98,98.0,0.82,,217,217,0.99,,80,81.2,1.69,,80,80.0,1.40,,80,80.0,1.42
spinv,,190,190.3,342.01,,282,286.1,17.76,,199,203.6,1179.74,,--,--,--,,328,328.0,6.74,,286,286.0,1.75,,433,433,3.22,,214,281.4,7.30,,196,196.4,375.52,,191,192.9,947.13
Banking1,,45,45.0,74.20,,52,54.5,0.06,,46,46.0,1.67,,46,46.0,9.18,,54,54.0,0.00,,58,58.0,1.71,,58,58.0,1.71,,45,45.0,0.25,,45,45.0,4.67,,45,45.0,209.93
Banking2,,30,30.0,78.64,,38,39.3,0.05,,30,30.0,2.54,,30,31.4,300.47,,41,41.0,0.02,,39,39.0,0.64,,63,63,0.79,,30,30.0,0.02,,30,30.0,0.89,,30,30.0,187.33
CommProtocol,,41,41.0,6.25,,49,51.2,0.06,,43,43.2,2.26,,41,41.0,5.29,,48,48.0,0.01,,49,49.0,2.27,,49,49.0,2.27,,41,41.1,0.93,,41,41.0,87.10,,41,41.0,5.00
Concurrency,,8,8.0,0.10,,12,12.2,0.01,,11,11.0,0.02,,8,8.0,0.95,,8,8.0,0.00,,8,8.0,0.70,,8,8.0,0.70,,8,8.0,0.00,,8,8.0,0.73,,8,8.0,1.07
