Instances,,,ScalableCA's 3-wise CA,,,,SamplingCA's 3-wise CA,,,,CAmpactor's 3-wise CA,,,,SamplingCA's 2-wise CA,,,,CAmpactor's 2-wise CA,
,,avg 4-wise cov,avg 5-wise cov,avg 6-wise cov,,avg 4-wise cov,avg 5-wise cov,avg 6-wise cov,,avg 4-wise cov,avg 5-wise cov,avg 6-wise cov,,avg 4-wise cov,avg 5-wise cov,avg 6-wise cov,,avg 4-wise cov,avg 5-wise cov,avg 6-wise cov
XSEngine,,99.91%,99.09%,95.92%,,99.95%,99.55%,97.74%,,99.96%,99.50%,97.53%,,95.69%,86.70%,72.59%,,87.81%,71.96%,53.90%
aaed2000,,99.93%,99.33%,97.05%,,99.95%,99.63%,98.28%,,99.96%,99.62%,98.23%,,96.57%,89.41%,77.44%,,89.84%,76.05%,59.28%
adder,,99.91%,99.05%,95.81%,,99.95%,99.56%,97.80%,,99.96%,99.52%,97.63%,,95.68%,86.78%,72.73%,,87.72%,71.86%,53.80%
adderII,,99.90%,99.03%,95.70%,,99.95%,99.56%,97.82%,,99.96%,99.53%,97.64%,,95.74%,86.86%,72.82%,,87.62%,71.71%,53.63%
aeb,,99.90%,98.98%,95.57%,,99.95%,99.53%,97.66%,,99.95%,99.47%,97.40%,,95.62%,86.65%,72.66%,,87.31%,71.35%,53.40%
aim711,,99.91%,99.04%,95.77%,,99.95%,99.56%,97.77%,,99.96%,99.52%,97.60%,,95.82%,87.02%,73.14%,,87.58%,71.71%,53.73%
aki3068net,,99.90%,98.99%,95.67%,,99.95%,99.52%,97.66%,,99.95%,99.46%,97.42%,,95.70%,86.93%,73.15%,,87.47%,71.73%,53.87%
am31_sim,,99.90%,98.98%,95.52%,,99.95%,99.51%,97.54%,,99.95%,99.41%,97.13%,,95.45%,86.15%,71.86%,,87.14%,70.91%,52.80%
asb,,99.90%,99.00%,95.57%,,99.95%,99.52%,97.61%,,99.95%,99.46%,97.33%,,95.60%,86.61%,72.60%,,87.36%,71.33%,53.31%
asb2305,,99.91%,99.06%,95.80%,,99.95%,99.54%,97.70%,,99.95%,99.48%,97.44%,,95.64%,86.68%,72.74%,,87.37%,71.42%,53.50%
assabet,,99.91%,99.02%,95.70%,,99.95%,99.55%,97.75%,,99.96%,99.50%,97.52%,,95.69%,86.88%,73.14%,,87.45%,71.63%,53.79%
at91sam7sek,,99.90%,99.04%,95.78%,,99.95%,99.55%,97.78%,,99.96%,99.51%,97.60%,,95.71%,86.95%,73.26%,,87.44%,71.57%,53.73%
at91sam7xek,,99.91%,99.11%,96.02%,,99.96%,99.59%,97.92%,,99.96%,99.56%,97.77%,,95.83%,87.19%,73.53%,,87.88%,72.28%,54.46%
atlas_mips32_4kc,,99.90%,99.02%,95.76%,,99.95%,99.52%,97.69%,,99.95%,99.47%,97.47%,,95.65%,86.83%,73.03%,,87.79%,72.17%,54.33%
atlas_mips64_5kc,,99.90%,99.04%,95.82%,,99.95%,99.53%,97.71%,,99.95%,99.47%,97.46%,,95.57%,86.60%,72.64%,,87.87%,72.33%,54.53%
axtls,,98.50%,92.80%,81.98%,,99.05%,94.89%,86.00%,,98.16%,91.66%,79.95%,,83.80%,67.07%,49.79%,,79.38%,61.35%,44.17%
brutus,,99.90%,99.02%,95.64%,,99.95%,99.52%,97.62%,,99.95%,99.46%,97.33%,,95.60%,86.51%,72.41%,,87.33%,71.25%,53.21%
buildroot,,99.41%,91.12%,69.89%,,99.87%,95.91%,79.73%,,99.01%,88.48%,65.54%,,84.21%,59.39%,36.32%,,66.80%,40.99%,22.95%
busybox_1_28_0,,99.95%,98.72%,90.87%,,99.98%,99.70%,96.86%,,99.90%,97.75%,86.84%,,95.75%,81.22%,58.38%,,80.35%,55.06%,32.96%
calm16_ceb,,99.90%,98.99%,95.57%,,99.95%,99.51%,97.57%,,99.95%,99.43%,97.23%,,95.62%,86.60%,72.56%,,87.22%,71.08%,53.02%
calm32_ceb,,99.90%,99.00%,95.60%,,99.95%,99.52%,97.60%,,99.95%,99.44%,97.27%,,95.56%,86.47%,72.37%,,87.15%,71.02%,52.94%
ceb_v850,,99.90%,98.98%,95.51%,,99.95%,99.51%,97.56%,,99.95%,99.43%,97.20%,,95.45%,86.22%,71.97%,,87.26%,71.15%,53.06%
cerf,,99.90%,99.06%,95.94%,,99.95%,99.55%,97.83%,,99.95%,99.51%,97.67%,,95.76%,87.14%,73.59%,,88.02%,72.64%,54.94%
cerfpda,,99.90%,99.06%,95.92%,,99.95%,99.56%,97.86%,,99.96%,99.53%,97.71%,,95.69%,86.97%,73.31%,,88.10%,72.72%,55.02%
cma230,,99.90%,99.00%,95.61%,,99.95%,99.52%,97.62%,,99.95%,99.46%,97.35%,,95.50%,86.36%,72.26%,,87.13%,70.96%,52.90%
cma28x,,99.91%,99.02%,95.65%,,99.95%,99.51%,97.58%,,99.95%,99.43%,97.23%,,95.48%,86.20%,71.88%,,87.33%,71.20%,53.09%
cme555,,99.91%,99.02%,95.63%,,99.95%,99.52%,97.60%,,99.95%,99.46%,97.35%,,95.47%,86.24%,71.98%,,87.26%,71.13%,53.05%
cq7708,,99.92%,99.25%,96.67%,,99.95%,99.59%,98.05%,,99.96%,99.56%,97.93%,,96.20%,88.26%,75.43%,,89.01%,74.54%,57.43%
cq7750,,99.91%,99.08%,95.94%,,99.95%,99.56%,97.84%,,99.96%,99.52%,97.65%,,95.74%,86.99%,73.32%,,87.62%,71.94%,54.17%
csb281,,99.90%,99.06%,95.93%,,99.95%,99.52%,97.70%,,99.95%,99.47%,97.49%,,95.59%,86.74%,72.89%,,88.13%,72.78%,55.04%
dreamcast,,99.92%,99.19%,96.44%,,99.95%,99.57%,97.97%,,99.95%,99.53%,97.81%,,95.94%,87.64%,74.39%,,88.82%,73.95%,56.49%
e7t,,99.90%,99.00%,95.66%,,99.95%,99.55%,97.75%,,99.96%,99.51%,97.57%,,95.56%,86.56%,72.56%,,87.62%,71.84%,53.92%
ea2468,,99.92%,99.16%,96.29%,,99.96%,99.63%,98.14%,,99.97%,99.61%,98.04%,,96.24%,88.39%,75.78%,,88.98%,74.55%,57.58%
eb40,,99.90%,98.97%,95.50%,,99.95%,99.53%,97.65%,,99.95%,99.48%,97.41%,,95.52%,86.39%,72.27%,,87.25%,71.20%,53.19%
eb40a,,99.90%,99.00%,95.62%,,99.95%,99.52%,97.64%,,99.95%,99.46%,97.37%,,95.60%,86.58%,72.55%,,87.36%,71.42%,53.44%
eb42,,99.91%,99.05%,95.75%,,99.95%,99.53%,97.63%,,99.95%,99.46%,97.37%,,95.57%,86.47%,72.36%,,87.18%,70.99%,52.91%
